allEarningsAmountInWei,endTimestamp,startTimestamp,entityId,entityType,entitySymbol
7542117340962117000000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,FARCASTER,NETWORK,id:farcaster
6552957975247238000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,proxyswap,CHANNEL,cid:proxyswap
61388296224115260000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,success,CHANNEL,cid:success
371846791041944660000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,replyguys,CHANNEL,cid:replyguys
10696378721585718000000,2024-08-12T19:40:00Z,2024-07-29T10:10:00Z,event-pass,CHANNEL,cid:event-pass
66743811762491330000000,2024-08-12T20:00:00Z,2024-07-29T00:30:00Z,rainbow,CHANNEL,cid:rainbow
10170993191276010000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,dogs,CHANNEL,cid:dogs
7902861364506779000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,onchain-blocks,CHANNEL,cid:onchain-blocks
50645677904982700000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,new-york,CHANNEL,cid:new-york
9230805331094523000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,frontend,CHANNEL,cid:frontend
20807312063867090000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,chatbfg,CHANNEL,cid:chatbfg
13204892347608445000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,zk,CHANNEL,cid:zk
11851967510196181000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,gaming,CHANNEL,cid:gaming
190457276667302020000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,founders,CHANNEL,cid:founders
10309562139463560000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,wearesoearly,CHANNEL,cid:wearesoearly
463993167202055000000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,airstack,CHANNEL,cid:airstack
50712500591522600000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,higher,CHANNEL,cid:higher
7873086951391972000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,appreciation,CHANNEL,cid:appreciation
294646838729460670000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,base,CHANNEL,cid:base
153316400027082600000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,lp,CHANNEL,cid:lp
18399660832761663000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,travel,CHANNEL,cid:travel
188266528938300600000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,warpcast,CHANNEL,cid:warpcast
424343487884952900000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,layer3,CHANNEL,cid:layer3
413545428687836000000,2024-08-12T05:30:00Z,2024-07-29T00:40:00Z,roam,CHANNEL,cid:roam
34304141329901365000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,frames,CHANNEL,cid:frames
3243836551704429000000,2024-08-12T17:10:00Z,2024-07-29T01:10:00Z,farhack,CHANNEL,cid:farhack
9018667779796964000000,2024-08-12T19:40:00Z,2024-07-29T00:40:00Z,quilibrium,CHANNEL,cid:quilibrium
405466857096204000000,2024-08-12T19:10:00Z,2024-07-29T01:40:00Z,poster,CHANNEL,cid:poster
12721239453589083000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,farcards,CHANNEL,cid:farcards
